monkey.ID,single.side,hidden.first,box.removed,choice,choice.bin,sex,age
AH5,left,paired,right,single,1,M,6.871232877
7G9,left,paired,right,single,1,M,15.63835616
AB5,left,paired,right,single,1,M,6.824657534
2Y1,left,paired,right,single,1,M,6.832876712
4K2,left,paired,right,paired,0,M,13.6630137
6T6,right,paired,right,single,1,M,9.701369863
8Y6,right,paired,right,paired,0,M,7.78630137
BD6,right,paired,right,single,1,M,4.956164384
AH3,right,paired,right,paired,0,M,6.920547945
BZ8,right,paired,right,paired,0,M,5.032876712
7V7,right,paired,right,single,1,M,8.821917808
BC7,left,paired,left,single,1,M,4.912328767
4Z4,left,paired,left,single,1,M,7.789041096
1U9,left,paired,left,single,1,M,9.484931507
6X5,left,paired,left,single,1,M,7.693150685
BM3,left,paired,left,single,1,F,5.02739726
5B2,left,paired,left,paired,0,M,18.5369863
CZ0,right,paired,left,single,1,F,2.991780822
9D8,right,paired,left,paired,0,F,17.62465753
CJ5,right,paired,left,single,1,M,3.912328767
4Y1,right,paired,left,paired,0,M,6.912328767
4T8,right,paired,left,single,1,M,9.808219178
CC3,left,single,right,paired,0,M,3.936986301
CP4,left,single,right,single,1,M,3.953424658
BF3,left,single,right,single,1,M,4.882191781
6F0,left,single,right,single,1,M,16.71232877
AI5,left,single,right,single,1,M,5.967123288
CM5,left,single,right,single,1,M,3.920547945
6K5,right,single,right,single,1,M,13.47945205
7Y5,right,single,right,single,1,M,6.895890411
BR9,right,single,right,paired,0,M,4.975342466
4G8,right,single,right,single,1,M,15.68219178
0x5,left,single,left,single,1,M,8.78630137
BL3,left,single,left,single,1,M,4.901369863
11Z,left,single,left,single,1,M,20.59178082
AJ7,left,single,left,single,1,F,6.032876712
8X5,left,single,left,single,1,M,6.917808219
8S8,left,single,left,single,1,M,9.802739726
9Z6,right,single,left,single,1,M,7.882191781
AL1,right,single,left,single,1,M,5.904109589
6A4,right,single,left,single,1,F,19.6109589
CU1,right,single,left,single,1,M,2.895890411
AX0,right,single,left,single,1,M,6.063013699
CK1,right,single,left,single,1,F,3.964383562
