monkey.ID,apple.side,choice ,choice.bin,sex,age,notes
6V5,1,apple,1,M,8.75890411,
UNID,2,apple,1,NA,NA,"~2yrs, no common ear notches with DC4, who is the only other sub-3yr-old in our sample"
4U0,1,apple,1,M,9.728767123,
3U6,1,apple,1,M,9.676712329,
8V5,2,apple,1,M,8.695890411,
8Y7,1,rock,0,M,7.745205479,
BS5,2,apple,1,M,4.980821918,
DC4,1,apple,1,F,2.964383562,
2H6,2,apple,1,M,15.62739726,
AJ5,2,rock,0,M,5.876712329,
7Z7,2,apple,1,M,6.794520548,
6Z8,2,apple,1,F,7.81369863,
2Y8,2,apple,1,M,7.884931507,
AQ0,1,apple,1,M,5.947945205,
AB5,1,apple,1,M,6.794520548,
DF7,2,apple,1,F,3.038356164,
BC7,1,apple,1,M,4.893150685,
AF5,1,rock,0,M,6.849315068,
4Y8,2,rock,0,M,6.920547945,
73V,2,apple,1,M,20.58356164,
0R3,2,apple,1,M,10.84109589,
4K7,1,apple,1,M,13.5890411,
6H9,1,apple,1,M,15.74246575,
AX0,1,apple,1,M,6.043835616,
