monkey.ID,single.side,hidden.first,choice,choice.bin,sex,age
2C3,left,1,paired,0,F,19.1813826146475
7Z5,left,1,paired,0,M,8.375085557837100
3Y8,left,1,paired,0,M,8.470910335386720
3E2,left,1,paired,0,F,18.250513347022600
BF3,left,1,single,1,M,5.486652977412730
4C2,left,1,paired,0,F,19.274469541410000
CJ4,left,1,single,1,F,4.618754277891860
3W7,left,1,single,1,F,9.308692676249140
3U0,right,1,single,1,F,10.313483915126600
3M9,right,1,paired,0,M,13.245722108145100
8E8,right,1,paired,0,F,17.215605749486700
0X5,right,1,paired,0,M,9.390828199863110
9Z8,right,1,single,1,F,7.537303216974680
EE3,right,1,single,1,M,3.3867214236824100
DD9,right,1,paired,0,M,4.643394934976040
EF3,left,2,paired,0,F,2.639288158795350
DD3,left,2,single,1,M,6.543463381245720
CJ2,left,2,single,1,M,4.432580424366870
AN5,left,2,paired,0,F,6.5160848733744000
6M8,right,2,single,1,M,13.409993155373000
4R6,right,2,single,1,F,11.38672142368240
